# Имя зоны в Supermap WFS (Supermap_GeoServer:rworgs) → код NSI ShortName для карты.
# Строки без маппинга или не из railway_rw_allowlist.txt отбрасываются при импорте.
supermap_name,rw
Октябрьская ЖД,ОКТ
Московская ЖД,МСК
Горьковская ЖД,ГОР
Куйбышевская ЖД,КБШ
Южно-Уральская ЖД,ЮУР
Свердловская ЖД,СВР
Западно-Сибирская ЖД,ЗСБ
Красноярская ЖД,КРС
Восточно-Сибирская ЖД,ВСБ
Забайкальская ЖД,ЗАБ
Дальневосточная ЖД,ДВС
Приволжская ЖД,ПРВ
Юго-Восточная ЖД,ЮВС
Северо-Кавказская ЖД,СКВ
Северная ЖД,СЕВ
Калининградская ЖД,КЛГ
Белорусская ЖД,БЕЛ
Казахстанская ЖД,КЗХ
Узбекистан,УЗБ
Азербайджанская ЖД,АЗР
Латвия,ЛАТ
Литва,ЛИТ
Эстония,ЭСТ
Кыргызстан,КРГ
Туркменистан,ТДЖ
