# Сетевой район ЕСР (первые 2 цифры esr6) → 3-буквенный код ж/д дороги (fallback, если нет railway_rw в NSI).
# Используется только для region_group=ru в build_railway_voronoi.py; для СНГ — только NSI.
# Черновик: конфликтует с esr_country_prefixes.csv на префиксах 13–16, 66–69…; уточнять по выгрузке NSI.
prefix2,rw,note
01,ОКТ,Октябрьская
02,ОКТ,Калининград / Октябрьская
03,МСК,Московская
04,МСК,Московская
05,МСК,Московская
06,КБШ,Куйбышевская
07,ЮУР,Южно-Уральская
08,ГОР,Горьковская
09,СЕВ,Северная
10,СКВ,Северо-Кавказская
11,ПРВ,Приволжская
12,ПРВ,Приволжская
13,ЮВС,Юго-Восточная
14,ЮВС,Юго-Восточная
15,ЮВС,Юго-Восточная
16,СВР,Свердловская
17,СВР,Свердловская
18,СВР,Свердловская
19,МСК,Московская
20,СКВ,Северо-Кавказская
22,ЮВС,Юго-Восточная
23,ЮВС,Юго-Восточная
24,КРС,Красноярская
25,ЗСБ,Западно-Сибирская
26,ЗСБ,Западно-Сибирская
27,ЗСБ,Западно-Сибирская
28,ВСБ,Восточно-Сибирская
29,ВСБ,Восточно-Сибирская
30,ЗАБ,Забайкальская
31,ЗАБ,Забайкальская
32,ДВС,Дальневосточная
33,ДВС,Дальневосточная
34,ДВС,Дальневосточная
35,ДВС,Дальневосточная
36,ДВС,Дальневосточная
51,КЛГ,Калининградская
58,ОКТ,Октябрьская
59,ОКТ,Октябрьская
60,ОКТ,Октябрьская
61,ОКТ,Октябрьская
62,ОКТ,Октябрьская
63,КБШ,Куйбышевская
64,ЮУР,Южно-Уральская
65,ЮУР,Южно-Уральская
66,ЮУР,Южно-Уральская
67,ЮУР,Южно-Уральская
68,ГОР,Горьковская
69,ГОР,Горьковская
70,ГОР,Горьковская
71,ГОР,Горьковская
72,ГОР,Горьковская
73,ГОР,Горьковская
74,ГОР,Горьковская
75,ГОР,Горьковская
76,ГОР,Горьковская
77,ГОР,Горьковская
78,ГОР,Горьковская
79,ГОР,Горьковская
80,ГОР,Горьковская
81,ГОР,Горьковская
82,ГОР,Горьковская
83,ГОР,Горьковская
84,ГОР,Горьковская
85,ГОР,Горьковская
86,ГОР,Горьковская
87,ГОР,Горьковская
88,СВР,Свердловская
89,СВР,Свердловская
90,СВР,Свердловская
91,СВР,Свердловская
92,СВР,Свердловская
93,СВР,Свердловская
94,КРС,Красноярская
95,КРС,Красноярская
96,КРС,Красноярская
97,КРС,Красноярская
98,КРС,Красноярская
99,КРС,Красноярская
