# Tier 0: ручные координаты (fill-only — если Tier1 OSM и Tier2 sbin не дали coords).
# Строки с # игнорируются. esr6 — 6 цифр с ведущими нулями.
# lat/lon — WGS84 (десятичные градусы). name_osm можно оставить пустым.
esr6,lat,lon,note
130609,52.100089,23.680777,Брест-Центральный (Экспорт)
689607,50.246673,57.239397,Актобе 2
673007,49.969178,73.224598,Караганда-Сортировочная
098704,56.527593,21.026274,Лиепая (Экспорт)
521001,44.735752,37.772909,Новороссийск (Экспорт)
663404,43.60072,51.222431,Актау-Порт (Экспорт)
716202,42.841247,74.307239,Шопоково
035902,59.909388,30.238048,Новый Порт (Экспорт)
947005,49.630475,117.33862,Забайкальск (Экспорт КЖД [Китай])
095903,57.036970,24.1167,Зиемельблазма (Экспорт)
097400,57.034571,24.043856,Болдерая (Экспорт)
098704,56.52430,21.01726,Лиепая (Экспорт)
980200,43.11332,131.88375,Владивосток (Экспорт)
614507,45.78147,47.552188,Порт Оля
315102,57.55906,39.918168,Дунайка
747802,40.22514,69.728949,Худжанд,
533102,44.10887,39.095463,Туапсе-Сортировочная (Экспорт)
986902,42.87689,131.38527,Блюхер (Экспорт)
545608,41.21711,49.008091,Шабран
546403,40.561503,49.680579,Сумгаит
098306,57.391791,21.593182,Вентспилс (Экспорт)
937107,50.348432,106.08856,Наушки (эксп.)
989309,44.381198,131.20271,Гродеково (Экспорт КЖД [Китай])
515208,46.716374,38.282856,Ейск (Экспорт)
843802,51.846555,81.546049,Озимая
644108,54.2128067,48.08153152,ОХОТНИЧЬЯ
643976,54.2128067,48.08153152,ОХОТНИЧЬЯ
