[Ср 01 апр 2026 18:40:35 MSK] Запуск: /home/atretyakov/railoptim/target/release/railoptim (env=prod)
Получено узлов спроса:       266
Получено узлов предложения:  205
Получено тарифов:            12436
Всего пар supply×demand:     54530
  без тарифа:                2095 (3.8%)
  нарушение срока:           22245 (40.8%)
  несовм. тип вагона:        1449 (2.7%)
Допустимых дуг в LP:         29473 (54.0%)
--- АНАЛИЗ РЕСУРСОВ ---
Предложение: 886 ваг.
Спрос:       3167 ваг.
Статус: ДЕФИЦИТ  (2281 ваг. — штрафные дуги)
-----------------------
--- ЖАДНОЕ РЕШЕНИЕ ---
Назначений:            263 шт.
Назначено вагонов:     886 / 3167 спрос, 886 предложение
Суммарная стоимость:   23118018.60 руб.
Неудовлетворён спрос:  2281 ваг.
Избыток предложения:   0 ваг.
Покрытие спроса:       28.0%
----------------------
--- ALNS СТАРТ ---
Начальная стоимость: 23118018.60 руб.
Назначений:          263
Бюджет времени:      300 сек.
------------------
[iter     1] ✓ улучшение 3170.09 руб. | стоимость 23114848.51 | K=19%
[iter     3] ✓ улучшение 3264.00 руб. | стоимость 23111584.51 | K=18%
[iter     4] ✓ улучшение 2822.96 руб. | стоимость 23108761.55 | K=17%
[iter    28] ✓ улучшение 705.74 руб. | стоимость 23108055.81 | K=16%
[iter    29] ✓ улучшение 0.00 руб. | стоимость 23108055.81 | K=15%
[iter    62] ✓ улучшение 0.00 руб. | стоимость 23108055.81 | K=14%
[iter   213] ✓ улучшение 4933.73 руб. | стоимость 23103122.08 | K=19%
[iter   214] ✓ улучшение 3648.77 руб. | стоимость 23099473.31 | K=18%
[iter   267] ✓ улучшение 1577.85 руб. | стоимость 23097895.46 | K=19%
[iter   268] ✓ улучшение 0.00 руб. | стоимость 23097895.46 | K=18%
[iter   276] ✓ улучшение 0.00 руб. | стоимость 23097895.46 | K=17%
[iter   320] ✓ улучшение 0.00 руб. | стоимость 23097895.46 | K=16%
[iter   471] ✓ улучшение 15047.44 руб. | стоимость 23082848.02 | K=21%
[iter   472] ✓ улучшение 493.07 руб. | стоимость 23082354.95 | K=20%
[iter   473] ✓ улучшение 493.07 руб. | стоимость 23081861.88 | K=19%
[iter   513] ✓ улучшение 0.00 руб. | стоимость 23081861.88 | K=18%
[iter   565] ✓ улучшение 493.07 руб. | стоимость 23081368.81 | K=19%
[iter   570] ✓ улучшение 0.00 руб. | стоимость 23081368.81 | K=18%
[iter   686] ✓ улучшение 0.00 руб. | стоимость 23081368.81 | K=21%
[iter   694] ✓ улучшение 0.00 руб. | стоимость 23081368.81 | K=20%
[iter   795] ✓ улучшение 19492.89 руб. | стоимость 23061875.92 | K=23%
[iter   796] ✓ улучшение 25992.12 руб. | стоимость 23035883.80 | K=22%
[iter   797] ✓ улучшение 9875.28 руб. | стоимость 23026008.52 | K=21%
[iter   798] ✓ улучшение 200.18 руб. | стоимость 23025808.34 | K=20%
[iter   801] ✓ улучшение 0.00 руб. | стоимость 23025808.34 | K=19%
[iter   805] ✓ улучшение 0.00 руб. | стоимость 23025808.34 | K=18%
[iter   814] ✓ улучшение 0.00 руб. | стоимость 23025808.34 | K=17%
[iter   883] ✓ улучшение 0.00 руб. | стоимость 23025808.34 | K=18%
[iter   995] ✓ улучшение 9875.28 руб. | стоимость 23015933.06 | K=21%
[iter  1000] ✓ улучшение 0.00 руб. | стоимость 23015933.06 | K=20%
[iter  1047] ✓ улучшение 0.00 руб. | стоимость 23015933.06 | K=19%
[iter  1249] ✓ улучшение 1982.24 руб. | стоимость 23013950.82 | K=26%
[iter  1251] ✓ улучшение 0.00 руб. | стоимость 23013950.82 | K=25%
[iter  1281] ✓ улучшение 0.00 руб. | стоимость 23013950.82 | K=24%
[iter  1360] ✓ улучшение 0.00 руб. | стоимость 23013950.82 | K=25%
[iter  1461] ✓ улучшение 4770.69 руб. | стоимость 23009180.13 | K=28%
[iter  1462] ✓ улучшение 1590.23 руб. | стоимость 23007589.90 | K=27%
[iter  1463] ✓ улучшение 991.12 руб. | стоимость 23006598.78 | K=26%
[iter  1464] ✓ улучшение 0.00 руб. | стоимость 23006598.78 | K=25%
[iter  1509] ✓ улучшение 0.00 руб. | стоимость 23006598.78 | K=24%
[iter  1561] ✓ улучшение 0.00 руб. | стоимость 23006598.78 | K=25%
[iter  1662] ✓ улучшение 4770.69 руб. | стоимость 23001828.09 | K=28%
[iter  1666] ✓ улучшение 0.00 руб. | стоимость 23001828.09 | K=27%
[iter  1738] ✓ улучшение 0.00 руб. | стоимость 23001828.09 | K=28%
[iter  1789] ✓ улучшение 22088.11 руб. | стоимость 22979739.98 | K=29%
[iter  1790] ✓ улучшение 2466.43 руб. | стоимость 22977273.55 | K=28%
[iter  1793] ✓ улучшение 4712.32 руб. | стоимость 22972561.23 | K=27%
[iter  1802] ✓ улучшение 3836.12 руб. | стоимость 22968725.11 | K=26%
[iter  1950] ✓ улучшение 0.00 руб. | стоимость 22968725.11 | K=29%
[iter  1956] ✓ улучшение 0.00 руб. | стоимость 22968725.11 | K=28%
[iter  2059] ✓ улучшение 162768.81 руб. | стоимость 22805956.30 | K=31%
